case_id,layout,used_physical_cores,logical_core_groups,s_outer,s_inner,effective_s_outer,host_tiling_branch,tiling_key,tiling_key_name,coverage_ok,weight_ok
aclnnPromptFlashAttentionV3_test122_m,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
aclnnPromptFlashAttentionV3_test122_m4,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
aclnnPromptFlashAttentionV3_test122_m5,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
aclnnPromptFlashAttentionV3_test122_m5_B2,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
aclnnPromptFlashAttentionV3_test122_m5_B8,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
aclnnPromptFlashAttentionV3_test122_m2,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
aclnnPromptFlashAttentionV3_test122_m3,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
aclnnPromptFlashAttentionV3_test122_m6,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
aclnnPromptFlashAttentionV3_test122_m7,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
aclnnPromptFlashAttentionV3_test122_m8,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
aclnnPromptFlashAttentionV3_test122_m9,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
aclnnPromptFlashAttentionV3_test122_m10,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
PFAV3_case7,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
PFAV3_case8,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
PFAV3_case9,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
PFAV3_case10,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
PFAV3_case5,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
PFAV3_case6,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
PFAV3_case7,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
PFAV3_case11,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
PFAV3_case12,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
PFAV3_case13,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
PFAV3_case14,BNSD,32,16,64,128,128,default_value_d_le_128,1000000000000001612,QFP16_KVFP16_OUTFP16_BNSD_HIGHPRECISION_HIGHLEVELAPI_MDL_CUBEVECTORDIFF_NEWTILING,True,True
